,S,K,T,ANN_price
130314,19653.5,19500.0,20,340.37
137423,19542.65,18000.0,13,1588.56
161942,20901.15,20750.0,14,336.22
95391,19659.9,20300.0,0,4.67
97582,19753.8,19000.0,241,1772.41
104862,19434.55,20000.0,500,1744.28
120422,20133.3,19050.0,10,1127.5
86974,19439.4,19900.0,2,5.79
105744,19365.25,20350.0,7,3.86
156256,20096.6,19000.0,22,1193.55
96903,19753.8,18100.0,3,1634.9
136550,19624.7,19850.0,0,18.87
82914,19322.55,20000.0,269,944.87
103189,19543.1,21400.0,21,2.8
153178,19811.85,20500.0,8,8.41
74121,18755.9,18750.0,1,85.45
114194,19574.9,18300.0,2,1267.2
140014,18857.25,18150.0,35,940.0
89670,19564.5,19300.0,48,568.15
153921,19802.0,19850.0,7,121.91
117734,19993.2,20800.0,16,11.96
161827,20901.15,21550.0,7,13.66
144956,19411.75,18750.0,3,717.31
107614,19396.45,19000.0,2,424.14
91410,19833.15,19650.0,1,217.35
163678,20997.1,25000.0,17,1.65
139060,19122.15,19700.0,22,36.34
79346,18665.5,17000.0,552,3372.72
156735,20133.15,20150.0,0,90.47
167812,21418.65,19350.0,10,2143.61
161606,20901.15,18400.0,0,2508.54
117223,19996.35,18500.0,45,1658.4
114043,19528.8,20200.0,52,120.71
106065,19365.25,18000.0,42,1533.74
162294,20901.15,19400.0,49,1724.51
101167,19597.3,20800.0,52,40.84
109212,19386.7,18900.0,14,600.21
136243,19671.1,18000.0,43,1840.66
149549,19675.45,20250.0,15,29.95
153048,19811.85,20600.0,1,4.37
80408,18817.4,18500.0,23,479.63
168895,21453.1,21300.0,16,346.11
96176,19659.9,22000.0,518,872.51
114355,19574.9,21050.0,9,1.98
100796,19597.3,19450.0,10,264.71
132470,19811.35,19100.0,15,806.98
142011,19079.6,18700.0,9,504.85
141697,19140.9,20950.0,59,17.34
144378,19230.6,19150.0,13,244.11
114773,19574.9,20000.0,205,871.93
156282,20096.6,20800.0,22,29.72
96364,19646.05,20150.0,13,28.94
105156,19465.0,19950.0,15,30.7
85951,19331.8,19950.0,55,151.57
143365,18989.15,23000.0,148,16.39
83776,19398.5,19000.0,1,415.68
145495,19411.75,20800.0,52,27.43
120915,20133.3,22000.0,192,216.13
151713,19694.0,18550.0,10,1219.44
160705,20937.7,18600.0,1,2406.44
148921,19443.55,19150.0,24,497.17
150484,19765.2,19850.0,21,214.96
145681,19406.7,18400.0,2,1026.77
112562,19253.8,20550.0,14,3.31
105176,19465.0,20950.0,15,2.88
84603,19497.3,18400.0,0,1088.73
98009,19733.55,19700.0,30,316.83
161613,20901.15,18900.0,0,2018.95
104623,19434.55,17000.0,45,2555.49
111874,19347.45,20800.0,15,2.89
160228,20855.1,18800.0,23,2149.81
94378,19672.35,19500.0,66,612.83
93480,19745.0,19150.0,41,864.59
90046,19711.45,17000.0,10,2697.22
91130,19749.25,19650.0,44,431.52
113996,19528.8,19600.0,31,269.11
161489,20937.7,20400.0,85,1013.96
175508,21731.4,23000.0,90,114.37
131245,19512.35,19800.0,52,285.86
144997,19411.75,20800.0,3,1.27
146947,19443.5,20750.0,50,29.04
88292,19384.3,19100.0,78,740.19
157653,20267.9,19600.0,13,760.99
100706,19597.3,20800.0,3,1.44
87626,19439.4,20000.0,170,631.65
102407,19632.55,19850.0,22,143.67
119989,20192.35,19900.0,27,495.01
95544,19659.9,19350.0,7,410.82
161013,20937.7,20450.0,15,629.66
109044,19386.7,17000.0,7,2384.59
107356,19393.6,19050.0,38,593.35
136211,19671.1,19800.0,29,236.11
74798,18688.1,20000.0,0,0.47
112540,19253.8,19200.0,14,223.65
122980,19674.25,19400.0,69,706.21
109814,19265.8,18700.0,13,667.25
74490,18755.9,18650.0,22,300.58
103515,19543.1,20000.0,504,1832.68
88941,19413.75,20500.0,28,12.67
130307,19653.5,19150.0,20,640.59
124556,19716.45,17750.0,1,1955.36
102031,19570.85,23000.0,506,481.92
127933,19436.1,20550.0,8,3.46
97628,19733.55,19000.0,2,736.96
167793,21418.65,17500.0,10,3957.25
105862,19365.25,19800.0,14,31.52
