,S,K,T,LSTM_price
589,19465.0,21150.0,1.0,6.74
590,19794.0,19200.0,77.0,958.18
591,19355.9,19300.0,24.0,258.84
592,21255.05,19400.0,0.0,1735.73
593,21441.35,21700.0,30.0,300.38
594,21456.65,19400.0,13.0,2064.11
595,21349.4,26000.0,370.0,227.79
596,19381.65,18100.0,28.0,1328.86
597,19753.8,20550.0,3.0,8.66
598,19672.35,19450.0,38.0,463.19
599,18817.4,16000.0,184.0,3251.16
600,19674.55,18000.0,3.0,1650.56
601,19765.2,19350.0,0.0,381.5
602,19386.7,20000.0,63.00000000000001,164.7
603,19395.3,19650.0,7.0,60.77
604,21453.1,21600.0,23.0,271.31
605,19444.0,17700.0,8.0,1704.16
606,19778.3,17900.0,15.0,1865.68
607,19396.45,20950.0,2.0,6.87
608,21418.65,21500.0,31.0,331.82
609,20997.1,20500.0,80.0,1012.23
610,19528.8,21250.0,52.0,7.45
611,21778.7,19900.0,28.0,1958.96
612,19133.25,20050.0,0.0,8.28
613,19545.75,21000.0,56.0,8.12
614,19528.8,19150.0,52.0,644.44
615,19749.25,19650.0,23.0,282.16
616,18856.85,15000.0,190.0,4253.94
617,19322.55,19700.0,3.0,9.79
618,19393.6,21150.0,3.0,6.74
619,19564.5,19350.0,6.0,227.21
620,19395.3,20150.0,48.99999999999999,98.48
621,21255.05,21200.0,70.0,610.94
622,19230.6,19500.0,20.0,101.45
623,19281.75,23000.0,157.0,7.4
624,19133.25,19600.0,0.0,9.4
625,21456.65,19000.0,195.0,3144.84
626,19347.45,19100.0,29.0,438.12
627,19347.45,20900.0,22.0,7.27
628,19435.3,20900.0,34.0,7.6
629,19331.8,19150.0,83.0,678.46
630,19996.35,19900.0,17.0,246.19
631,19355.9,19350.0,17.0,197.27
632,19497.3,17100.0,0.0,2301.81
633,19833.15,19650.0,1.0,190.47
634,19765.2,19150.0,7.0,577.72
635,19047.25,20000.0,153.0,331.81
636,19674.55,18550.0,3.0,1111.1
637,19674.25,19300.0,6.0,390.43
638,19398.5,19450.0,1.0,87.5
639,19689.85,21000.0,170.0,281.56
640,19079.6,19450.0,16.0,63.0
641,21456.65,20000.0,104.0,1912.39
642,19794.0,18900.0,48.99999999999999,1068.91
643,19425.35,17900.0,20.0,1527.37
644,21456.65,26000.0,104.0,7.59
645,19523.55,19700.0,28.0,171.51
646,19413.75,20300.0,14.0,8.7
647,19632.55,21400.0,22.0,6.82
648,19047.25,20750.0,62.0,7.5
649,19765.2,15000.0,133.0,5017.93
650,18688.1,19800.0,7.0,8.02
651,19122.15,19950.0,36.0,35.24
652,19638.3,20650.0,27.0,8.53
653,20686.8,21150.0,10.0,53.54
654,19765.2,20100.0,28.0,126.61
655,19253.8,18100.0,0.0,1123.25
656,21731.4,22000.0,62.0,479.96
657,18716.15,19150.0,16.0,53.41
658,19689.85,19700.0,16.0,165.63
659,19783.4,20950.0,2.0,7.81
660,19396.45,19500.0,9.0,105.19
661,19833.15,21000.0,22.0,8.23
662,19979.15,20500.0,21.0,50.31
663,19901.4,21050.0,8.0,7.75
664,20937.7,20700.0,22.0,444.1
665,19512.35,20600.0,3.0,7.81
666,18972.1,18650.0,8.0,371.02
667,18826.0,17200.0,40.99999999999999,1703.81
668,19570.85,20000.0,9.0,26.99
669,19646.05,15000.0,153.0,4948.2
670,19794.0,21000.0,28.0,8.17
671,19528.8,18200.0,24.0,1349.52
672,19901.4,23000.0,463.0,497.58
673,19675.45,21050.0,15.0,7.38
674,19528.75,21000.0,23.0,7.32
675,18857.25,18900.0,21.0,228.65
676,19765.2,18900.0,14.0,854.91
677,19526.55,23000.0,56.99999999999999,7.05
678,19526.55,18300.0,8.0,1143.01
679,18972.1,20350.0,0.0,7.34
